Erhebungsmonat;Preissubsystem;Schemanummer;PMS;EP;Laufnummer;Preis_T;Menge_T;Preis_VPK;Menge_VPK;BC;Aktionscode;Ausverkauf;Text;Artikelnummer;Sonderpreis;Fehlende_Preise_R;BemerkungenMitHistorie;Tablet_Informationen;Preis_vor_Reduktion;Menge_vor_Reduktion;Ist_Preisreihe_zu_beenden;"DynamischesFeld1;DynamischesFeld2;DynamischesFeld3;DynamischesFeld4;DynamischesFeld5"
01.12.2016;2;0;7019;4016;3;6.9;5;;;;0;0;Zement, Gips und Verputzmittel;3.658.691;0;;;zeitPos=1|sortNr=54;6.9;5;0;";;;;"
01.12.2016;2;0;7019;4017;1;7.5;0.31;;;;0;0;Verbund- und Klebestoffe;3.227.300;0;;;zeitPos=1|sortNr=56;7.5;0.31;0;";;;;"
01.12.2016;2;0;7019;4017;2;15.5;0.31;;;;0;0;Verbund- und Klebestoffe;3.227.291;0;;;zeitPos=1|sortNr=57;15.5;0.31;0;";;;;"
01.12.2016;2;0;7019;4017;3;7.95;0.3;;;;0;0;Verbund- und Klebestoffe;3.224.238;0;;;zeitPos=1|sortNr=59;7.95;0.3;0;";;;;"
01.12.2016;2;0;7019;4117;1;10.95;15;;;;0;0;Holzscheite (in kg);5.681.888.000;0;;;zeitPos=1|sortNr=50;10.95;15;0;";;;;"
01.12.2016;2;0;7019;4117;2;6.6;10;;;;0;0;Holzscheite (in kg);;0;;;zeitPos=1|sortNr=53;6.6;10;0;";;;;"
01.12.2016;2;0;7019;4117;3;20.5;30;;;;0;0;Holzscheite (in kg);;0;;;zeitPos=1|sortNr=51;20.5;30;0;";;;;"
01.12.2016;2;0;7019;4117;4;8.5;12;;;;0;0;Holzscheite (in kg);3.367.831.000;0;;;zeitPos=1|sortNr=52;8.5;12;0;";;;;"
01.12.2016;2;0;7019;5066;2;20.9;1;;;;0;0;Kunststoffbodenbeläge;;0;;;zeitPos=1|sortNr=44;20.9;1;0;";;;;"
01.12.2016;2;0;7019;5066;3;18.9;1;;;;0;0;Kunststoffbodenbeläge;;0;;;zeitPos=1|sortNr=46;18.9;1;0;";;;;"
01.12.2016;2;0;7019;5066;4;25.5;1;;;;0;0;Kunststoffbodenbeläge;;0;;;zeitPos=1|sortNr=45;25.5;1;0;";;;;"
01.12.2016;2;0;7019;5067;2;140;1;;;;0;0;Türvorlagen;;0;;;zeitPos=1|sortNr=60;140;1;0;";;;;"
01.12.2016;2;0;7019;5067;3;50.95;1;;;;0;0;Türvorlagen;4.352.061;0;;;zeitPos=1|sortNr=61;50.95;1;0;";;;;"
01.12.2016;2;0;7019;5103;7;1400;1;;;;0;0;Gefriergerät;4.291.964;0;;;zeitPos=1|sortNr=22;1400;1;0;"Satrap;Oecoplan 181 GS A ++NF;179 L;freistehend;"
01.12.2016;2;0;7019;5103;9;1600;1;;;;0;0;Gefriergerät;4.307.389;0;;;zeitPos=1|sortNr=20;1600;1;0;"Satrap;Oecoplan 255 GS A+++ NF;255 L;freistehend;"
01.12.2016;2;0;7019;5103;10;1250;1;;;;0;0;Gefriergerät;4.292.111;0;;;zeitPos=1|sortNr=21;1250;1;0;"Satrap;Oecoplan 200 GS A ++;194 L;freistehend;"
