Schemanummer;Preiserhebungsort (PMS);Erhebungspositionsnummer;Laufnummer;Preis T;Menge T;Aktionscode;Ausverkauf;Datum (Preis gültig seit);Text;Artikelnummer;Basispreis;Basismenge;Sonderpreis;Fehlende Preise -R-;Bemerkungen;Tablet Informationen;Preis vor Reduktion;Menge vor Reduktion;Preisreihe ist zu beenden;Produktmerkmal 1;Produktmerkmal 2;Produktmerkmal 3;Produktmerkmal 4;Produktmerkmal 5
0;7019;4013;6;15.9000;1.000;0;0;01.09.2014;Holzprodukte und Wandverkleidung;3.230.852;15.9000;1.000;0;;;zeitPos=1|sortNr=63;15.9000;1.000;0;;;;;;
0;7019;4014;1;26.5000;1.000;0;0;01.11.2015;Sanitärartikel;3.619.558;19.9000;1.000;0;;;zeitPos=1|sortNr=39;26.5000;1.000;0;;;;;;
0;7019;4014;4;210.0000;1.000;0;0;01.03.2014;Sanitärartikel;4.644.080;210.0000;1.000;0;;;zeitPos=1|sortNr=42;210.0000;1.000;0;;;;;;
0;7019;4014;5;83.9500;1.000;0;0;01.01.2016;Sanitärartikel;;83.9500;1.000;0;;;zeitPos=1|sortNr=43;83.9500;1.000;0;;;;;;
0;7019;4015;6;12.9500;1.000;0;0;01.04.2015;Fixe Bodenbeläge;3.820.980;19.9000;1.000;0;;;zeitPos=1|sortNr=49;12.9500;1.000;0;;;;;;
0;7019;4015;10;12.9500;1.000;0;0;01.04.2015;Fixe Bodenbeläge;3.821.393;13.9000;1.000;0;;;zeitPos=1|sortNr=48;12.9500;1.000;0;;;;;;
0;7019;4015;11;14.9500;1.000;0;0;01.04.2015;Fixe Bodenbeläge;3.821.265;15.9500;1.000;0;;;zeitPos=1|sortNr=47;14.9500;1.000;0;;;;;;
0;7019;4016;1;23.9500;5.000;0;0;01.05.2016;Zement, Gips und Verputzmittel;4.859.533;22.9000;5.000;0;;;zeitPos=1|sortNr=58;23.9500;5.000;0;;;;;;
0;7019;4016;2;8.5000;5.000;0;0;01.02.2002;Zement, Gips und Verputzmittel;3.658.527;8.5000;5.000;0;;;zeitPos=1|sortNr=55;8.5000;5.000;0;;;;;;
0;7019;4016;3;6.9000;5.000;0;0;01.02.2002;Zement, Gips und Verputzmittel;3.658.691;6.9000;5.000;0;;;zeitPos=1|sortNr=54;6.9000;5.000;0;;;;;;
0;7019;4017;1;7.5000;0.310;0;0;01.01.2010;Verbund- und Klebestoffe;3.227.300;7.5000;0.310;0;;;zeitPos=1|sortNr=56;7.5000;0.310;0;;;;;;
0;7019;4017;2;15.5000;0.310;0;0;01.01.2010;Verbund- und Klebestoffe;3.227.291;15.5000;0.310;0;;;zeitPos=1|sortNr=57;15.5000;0.310;0;;;;;;
0;7019;4017;3;7.9500;0.300;0;0;01.05.2016;Verbund- und Klebestoffe;3.224.238;9.5000;0.300;0;;;zeitPos=1|sortNr=59;7.9500;0.300;0;;;;;;
0;7019;4117;1;10.9500;15.000;0;0;01.03.2016;Holzscheite (in kg);5.681.888.000;10.9500;15.000;0;;;zeitPos=1|sortNr=50;10.9500;15.000;0;;;;;;
0;7019;4117;2;6.6000;10.000;0;0;01.12.2015;Holzscheite (in kg);;6.6000;10.000;0;;;zeitPos=1|sortNr=53;6.6000;10.000;0;;;;;;
0;7019;4117;3;20.5000;30.000;0;0;01.03.2016;Holzscheite (in kg);;20.5000;30.000;0;;;zeitPos=1|sortNr=51;20.5000;30.000;0;;;;;;
0;7019;4117;4;8.5000;12.000;0;0;01.12.2015;Holzscheite (in kg);3.367.831.000;8.5000;12.000;0;;;zeitPos=1|sortNr=52;8.5000;12.000;0;;;;;;
0;7019;5066;2;20.9000;1.000;0;0;01.01.2016;Kunststoffbodenbeläge;;20.9000;1.000;0;;;zeitPos=1|sortNr=44;20.9000;1.000;0;;;;;;
0;7019;5066;3;18.9000;1.000;0;0;01.05.2016;Kunststoffbodenbeläge;;18.9000;1.000;0;;;zeitPos=1|sortNr=46;18.9000;1.000;0;;;;;;
0;7019;5066;4;25.5000;1.000;0;0;01.05.2016;Kunststoffbodenbeläge;;25.5000;1.000;0;;;zeitPos=1|sortNr=45;25.5000;1.000;0;;;;;;
0;7019;5067;2;140.0000;1.000;0;0;01.11.2016;Türvorlagen;;140.0000;1.000;0;;;zeitPos=1|sortNr=60;140.0000;1.000;0;;;;;;
0;7019;5067;3;50.9500;1.000;0;0;01.11.2016;Türvorlagen;4.352.061;50.9500;1.000;0;;;zeitPos=1|sortNr=61;50.9500;1.000;0;;;;;;
0;7019;5103;7;1400.0000;1.000;0;0;01.06.2015;Gefriergerät;4.291.964;1400.0000;1.000;0;;;zeitPos=1|sortNr=22;1400.0000;1.000;0;Satrap;Oecoplan 181 GS A ++NF;179 L;freistehend;;
0;7019;5103;9;1600.0000;1.000;0;0;01.07.2015;Gefriergerät;4.307.389;1600.0000;1.000;0;;;zeitPos=1|sortNr=20;1600.0000;1.000;0;Satrap;Oecoplan 255 GS A+++ NF;255 L;freistehend;;
0;7019;5103;10;1250.0000;1.000;0;0;01.09.2015;Gefriergerät;4.292.111;1230.0000;1.000;0;;;zeitPos=1|sortNr=21;1250.0000;1.000;0;Satrap;Oecoplan 200 GS A ++;194 L;freistehend;;
0;7019;5103;11;1550.0000;1.000;0;0;01.05.2016;Gefriergerät;4.136.261;1550.0000;1.000;0;;;zeitPos=1|sortNr=23;1550.0000;1.000;0;Satrap Oecoplan;Oecoplan;290 GS A++ NF;freistehend;;
0;7019;5108;1;490.0000;1.000;1;0;01.11.2016;Kühlschrank/Gefriergerät - Kombigerät;3.709.622;700.0000;1.000;0;;;zeitPos=1|sortNr=18;700.0000;1.000;0;-;-;-;-;;
0;7019;5108;2;1450.0000;1.000;0;0;01.07.2016;Kühlschrank/Gefriergerät - Kombigerät;4.581.843;1450.0000;1.000;0;;Bitte die Produktemerkmale eintragen, merci GER;zeitPos=1|sortNr=19;1450.0000;1.000;0;Coop Oecoplan;337 KG A+++;337;freistehend;;
0;7019;5183;1;64.9500;1.000;1;0;01.11.2016;Elektrische Schlagbohrmaschinen;4.031.018;96.0000;1.000;0;;;zeitPos=1|sortNr=8;80.9500;1.000;0;Bosch;500W;;;;
0;7019;5183;5;110.0000;1.000;0;0;01.08.2016;Elektrische Schlagbohrmaschinen;4.976.792;100.0000;1.000;0;;;zeitPos=1|sortNr=9;110.0000;1.000;0;Einhell Red Line TE-ID;750 E;;;;
0;7019;5185;2;52.9500;1.000;1;0;01.11.2016;Elektrischer Schleifer;3.490.713;100.0000;1.000;0;;;zeitPos=1|sortNr=14;65.9500;1.000;0;Bosch;200W;Schwingschleifer;;;
0;7019;5185;3;160.2000;1.000;1;0;01.11.2016;Elektrischer Schleifer;4.415.403;260.0000;1.000;0;;Preiserhöhung! mg;zeitPos=1|sortNr=15;200.0000;1.000;0;Bosch;750W;Bandschleifer;;;
0;7019;5186;3;130.0000;1.000;0;0;01.07.2016;Stichsäge und Handkreissäge;5.617.452;130.0000;1.000;0;;;zeitPos=1|sortNr=11;130.0000;1.000;0;Einhell;1200W;Handkreissäge;;;
0;7019;5186;4;150.0000;1.000;0;0;01.03.2016;Stichsäge und Handkreissäge;4.320.954;190.0000;1.000;0;;;zeitPos=1|sortNr=10;150.0000;1.000;0;Einhell;1500W;Handkreissäge;;;
0;7019;5187;1;60.9500;1.000;0;0;01.06.2015;Akkuschrauber;4.320.951;50.0000;1.000;0;;;zeitPos=1|sortNr=7;60.9500;1.000;0;Einhell;3.6 V;;;;
0;7019;5187;3;150.0000;1.000;0;0;01.07.2016;Akkuschrauber;4.122.541;170.0000;1.000;0;;;zeitPos=1|sortNr=6;150.0000;1.000;0;Einhell;14.4 V/ 1300nAh;;;;
0;7019;5188;4;200.0000;1.000;0;0;01.06.2015;Motor-Rasenmäher;4.074.612;340.0000;1.000;0;;dito. mg;zeitPos=1|sortNr=76;200.0000;1.000;0;Garda;elektrisch;;;;
0;7019;5188;7;260.0000;1.000;0;0;01.09.2016;Motor-Rasenmäher;4.728.265;350.0000;1.000;0;;kann erst im Frühling ersetzt werden. mg;zeitPos=1|sortNr=75;260.0000;1.000;0;Bosch;elektrisch;;;;
0;7019;5189;3;80.9500;1.000;0;0;01.06.2016;Elektrische Garten- und Heckenscheren;4.728.208;80.0000;1.000;0;;;zeitPos=1|sortNr=74;80.9500;1.000;0;Bosch;Isio;;;;
0;7019;5189;4;116.0000;1.000;0;0;01.06.2016;Elektrische Garten- und Heckenscheren;3.945.374;200.0000;1.000;0;;;zeitPos=1|sortNr=73;116.0000;1.000;0;Bosch;ASB elektrisch;;;;
0;7019;5191;1;128.2000;1.000;1;0;01.11.2016;Multifunktionswerkzeug;5.644.516;120.0000;1.000;0;;;zeitPos=1|sortNr=12;160.0000;1.000;0;Bosch;190 Watt;;;;
0;7019;5192;1;128.2000;1.000;1;0;01.11.2016;Winkelschleifer;4.734.294;160.0000;1.000;0;;;zeitPos=1|sortNr=13;160.0000;1.000;0;Bosch Winkelschleifer PWS 1000-125 CE;1000 Watt;;;;
0;7019;5202;1;8.9500;1.000;0;0;01.01.2015;Handwerkzeug;4.483.541;5.9000;1.000;0;R;;zeitPos=1|sortNr=25;8.9500;1.000;0;;;;;;
0;7019;5202;2;11.9500;1.000;0;0;01.10.2014;Handwerkzeug;4.483.537;10.9000;1.000;0;;;zeitPos=1|sortNr=26;11.9500;1.000;0;;;;;;
0;7019;5202;3;7.9500;1.000;0;0;01.04.2016;Handwerkzeug;3.622.693.000;7.9500;1.000;0;;;zeitPos=1|sortNr=24;7.9500;1.000;0;;;;;;
0;7019;5202;4;34.9500;1.000;0;0;01.04.2016;Handwerkzeug;4.589.931.000;34.9500;1.000;0;;;zeitPos=1|sortNr=27;34.9500;1.000;0;;;;;;
0;7019;5203;1;17.0500;1.000;1;0;01.11.2016;Gartenwerkzeug;3.672.005;19.9000;1.000;0;;;zeitPos=1|sortNr=69;23.9500;1.000;0;;;;;;
0;7019;5203;2;28.9500;1.000;1;0;01.11.2016;Gartenwerkzeug;3.251.378;37.9000;1.000;0;;;zeitPos=1|sortNr=70;40.9500;1.000;0;;;;;;
0;7019;5203;3;18.4500;1.000;1;0;01.11.2016;Gartenwerkzeug;3.672.008.000;25.9500;1.000;0;;;zeitPos=1|sortNr=72;25.9500;1.000;0;;;;;;
0;7019;5203;4;16.3500;1.000;1;0;01.11.2016;Gartenwerkzeug;C-Nr. 3251373;22.9500;1.000;0;;;zeitPos=1|sortNr=71;22.9500;1.000;0;;;;;;
0;7019;5204;1;60.9500;1.000;0;0;01.10.2015;Gartenbewässerungszubehör;4.422.726;80.0000;1.000;0;;;zeitPos=1|sortNr=66;60.9500;1.000;0;;;;;;
0;7019;5204;3;20.9500;1.000;0;0;01.08.2014;Gartenbewässerungszubehör;3.250.951;23.9000;1.000;0;;;zeitPos=1|sortNr=65;20.9500;1.000;0;;;;;;
0;7019;5204;4;36.9500;1.000;0;0;01.04.2016;Gartenbewässerungszubehör;;36.9500;1.000;0;;;zeitPos=1|sortNr=68;36.9500;1.000;0;;;;;;
0;7019;5204;5;28.9500;1.000;0;0;01.04.2016;Gartenbewässerungszubehör;4.080.528.000;28.9500;1.000;0;;;zeitPos=1|sortNr=67;28.9500;1.000;0;;;;;;
0;7019;5211;3;55.9500;1.000;0;0;01.10.2015;Verlängerungskabel und Steckdosenleiste;4.002.512 oberst.Rei;45.9000;1.000;0;;;zeitPos=1|sortNr=28;55.9500;1.000;0;;;;;;
0;7019;5211;4;6.9500;1.000;0;0;01.04.2016;Verlängerungskabel und Steckdosenleiste;4.002.177;6.9500;1.000;0;;;zeitPos=1|sortNr=31;6.9500;1.000;0;;;;;;
0;7019;5212;1;8.9500;1.000;0;0;01.04.2013;Taschen- und Handlampen;3.190.201;8.5000;1.000;0;;;zeitPos=1|sortNr=33;8.9500;1.000;0;;;;;;
0;7019;5212;2;5.9500;1.000;0;0;01.03.2015;Taschen- und Handlampen;4.252.182;5.3000;1.000;0;;;zeitPos=1|sortNr=32;5.9500;1.000;0;;;;;;
0;7019;5213;3;10.9500;1.000;0;0;01.12.2015;Glühlampen, Leuchtstoffröhren;4.881.711;10.5000;1.000;0;;;zeitPos=1|sortNr=29;10.9500;1.000;0;;;;;;
0;7019;5213;8;4.8500;1.000;0;0;01.11.2015;Glühlampen, Leuchtstoffröhren;4.043.703;4.6000;1.000;0;R;;zeitPos=1|sortNr=30;4.8500;1.000;0;;;;;;
0;7019;5214;2;8.9500;4.000;0;0;01.05.2016;Batterien;4.093.303;10.5000;4.000;0;;;zeitPos=1|sortNr=35;8.9500;4.000;0;;;;;;
0;7019;5214;3;7.9500;4.000;0;0;01.01.2014;Batterien;4.093.333;8.9000;4.000;0;;;zeitPos=1|sortNr=34;7.9500;4.000;0;;;;;;
0;7019;5215;4;6.6000;100.000;0;0;01.04.2016;Eisenwaren fürs Haus;3.809.350;6.6000;100.000;0;;;zeitPos=1|sortNr=16;6.6000;100.000;0;;;;;;
0;7019;5215;5;4.1000;10.000;0;0;01.07.2016;Eisenwaren fürs Haus;3.909.514 (0505)blau;4.1000;10.000;0;;;zeitPos=1|sortNr=17;4.1000;10.000;0;;;;;;
0;7019;5217;2;65.9500;1.000;0;0;01.11.2015;Badzubehör;4.370.841;62.5000;1.000;0;;;zeitPos=1|sortNr=40;65.9500;1.000;0;;;;;;
0;7019;5217;3;65.9500;1.000;0;0;01.05.2016;Badzubehör;3.221.790;65.9500;1.000;0;;;zeitPos=1|sortNr=41;65.9500;1.000;0;;;;;;
0;7019;5269;1;3.5000;1.000;0;0;01.01.2016;Einkaufstasche;;3.5000;1.000;0;;;zeitPos=1|sortNr=1;3.5000;1.000;0;;;;;;
0;7019;9371;2;11.9500;1.000;0;0;01.02.2015;Pflanzengefässe und -töpfe;3.250.961;10.9000;1.000;0;;;zeitPos=1|sortNr=77;11.9500;1.000;0;;;;;;
0;7019;9546;1;20.9000;1.000;0;0;01.05.2016;Land- und Strassenkarten;3.420.617;15.8000;1.000;0;;;zeitPos=1|sortNr=4;20.9000;1.000;0;;;;;;
0;7019;9546;6;19.9000;1.000;0;0;01.05.2016;Land- und Strassenkarten;4.709.147;20.8000;1.000;0;;;zeitPos=1|sortNr=5;19.9000;1.000;0;;;;;;
0;7019;9546;8;20.9000;1.000;0;0;01.10.2016;Land- und Strassenkarten;7.611.374;20.9000;1.000;0;;;zeitPos=1|sortNr=3;20.9000;1.000;0;;;;;;
0;7019;9546;11;30.9000;1.000;0;0;01.05.2016;Land- und Strassenkarten;3.420.663;30.9000;1.000;0;;;zeitPos=1|sortNr=2;30.9000;1.000;0;;;;;;
0;7087;9403;1;8.0000;1.000;0;0;01.09.2000;Kunsteisbahn, Einzeleintritte;;8.0000;1.000;0;;;zeitPos=1|sortNr=1;8.0000;1.000;0;;;;;;
0;7087;9403;3;5.0000;1.000;0;0;01.12.2001;Kunsteisbahn, Einzeleintritte;;4.4000;1.000;0;;;zeitPos=1|sortNr=3;5.0000;1.000;0;;;;;;
0;7087;9403;4;64.0000;10.000;0;0;01.09.2016;Kunsteisbahn, Einzeleintritte;;64.0000;10.000;0;;;zeitPos=1|sortNr=3;64.0000;10.000;0;;;;;;
0;7087;9404;1;111.0000;1.000;0;0;01.12.2001;Kunsteisbahn, Saisonabonnemente;;206.0000;1.000;0;;;zeitPos=1|sortNr=4;111.0000;1.000;0;;;;;;
0;7087;9404;2;61.0000;1.000;0;0;01.12.2001;Kunsteisbahn, Saisonabonnemente;;156.0000;1.000;0;;;zeitPos=1|sortNr=5;61.0000;1.000;0;;;;;;
0;7087;9404;3;61.0000;1.000;0;0;01.12.2001;Kunsteisbahn, Saisonabonnemente;;106.0000;1.000;0;;;zeitPos=1|sortNr=6;61.0000;1.000;0;;;;;;
0;7092;9452;5;103.0000;1.000;0;0;01.09.2015;Theater, Einzeleintritte;;82.0000;1.000;0;;;zeitPos=1|sortNr=1;103.0000;1.000;0;;;;;;
0;7092;9452;9;92.0000;1.000;0;0;01.09.2015;Theater, Einzeleintritte;;69.0000;1.000;0;;;zeitPos=1|sortNr=3;92.0000;1.000;0;;;;;;
0;7092;9452;17;138.0000;1.000;0;0;01.09.2015;Theater, Einzeleintritte;;135.0000;1.000;0;;;zeitPos=1|sortNr=5;138.0000;1.000;0;;;;;;
0;7092;9452;18;119.0000;1.000;0;0;01.09.2015;Theater, Einzeleintritte;;116.0000;1.000;0;;;zeitPos=1|sortNr=4;119.0000;1.000;0;;;;;;
0;7092;9452;31;105.0000;1.000;0;0;01.09.2015;Theater, Einzeleintritte;;102.0000;1.000;0;;;zeitPos=1|sortNr=2;105.0000;1.000;0;;;;;;
0;7092;9453;5;827.0000;11.000;0;0;01.09.2016;Theater, Abonnemente;;508.0000;1.000;0;;;zeitPos=1|sortNr=8;813.0000;11.000;0;;;;;;
0;7092;9453;12;909.0000;11.000;0;0;01.09.2016;Theater, Abonnemente;;937.0000;11.000;0;;908.- stimmt , dieses Abo ist günstiger geworden.;zeitPos=1|sortNr=6;909.0000;11.000;0;;;;;;
0;7092;9453;14;715.0000;11.000;0;0;01.09.2016;Theater, Abonnemente;;735.0000;11.000;0;;;zeitPos=1|sortNr=7;715.0000;11.000;0;;;;;;
0;7092;9453;15;1538.0000;10.000;0;0;01.09.2016;Theater, Abonnemente;;1535.0000;10.000;0;;;zeitPos=1|sortNr=9;1538.0000;10.000;0;;;;;;
0;7104;6071;6;9.1000;1.000;0;0;01.08.2014;Verbandstoff;405220;7.7000;1.000;0;;;zeitPos=1|sortNr=3;9.1000;1.000;0;;;;;;
0;7104;6073;1;8.3000;1.000;0;0;01.08.2014;Schnellverbände;522420;6.1000;1.000;0;;;zeitPos=1|sortNr=4;8.3000;1.000;0;;;;;;
0;7104;6073;2;8.3000;1.000;0;0;01.08.2014;Schnellverbände;524620;6.1000;1.000;0;;;zeitPos=1|sortNr=5;8.3000;1.000;0;;;;;;
0;7104;6074;3;8.2000;1.000;0;0;01.11.2015;Elastische Binden;;7.9000;1.000;0;;;zeitPos=1|sortNr=6;8.2000;1.000;0;;;;;;
0;7104;6074;4;7.5000;1.000;0;0;01.09.2014;Elastische Binden;;5.9500;1.000;0;;;zeitPos=1|sortNr=7;7.5000;1.000;0;;;;;;
0;7104;6075;4;16.5000;1.000;0;0;01.11.2015;Fiebermesser;;18.7000;1.000;0;;;zeitPos=1|sortNr=8;16.5000;1.000;0;;;;;;
0;7104;6075;5;70.0000;1.000;0;0;01.05.2016;Fiebermesser;;65.9000;1.000;0;;;zeitPos=1|sortNr=9;70.0000;1.000;0;;;;;;
0;7104;6076;1;14.9000;10.000;0;0;01.03.2016;Präservative;8117210;8.9000;6.000;0;;;zeitPos=1|sortNr=2;14.9000;10.000;0;;;;;;
0;7104;6076;2;15.9000;10.000;0;0;01.03.2016;Präservative;8117189;17.9000;12.000;0;;;zeitPos=1|sortNr=1;15.9000;10.000;0;;;;;;
0;7104;12024;3;7.9000;100.000;0;0;01.12.2015;Toiletten- und Handseife, Stücke;8420;5.7000;100.000;0;;;zeitPos=1|sortNr=10;7.9000;100.000;0;;;;;;
0;7104;12025;11;8.9000;300.000;0;0;01.11.2015;Toiletten- und Handseife, flüssig;;8.9000;300.000;0;;;zeitPos=1|sortNr=11;8.9000;300.000;0;;;;;;
